# 已知红色用例（隔离区）
#
# 这些用例与「本次改动」无关，但因为断言过时 / 依赖已清理的旧工具 / 环境差异而失败。
# 门禁默认不跑它们，但会反向检查它们是否「意外转绿」——转绿即报错，
# 强制有人回来把它们移出隔离区，避免隔离区变成垃圾场。
#
# 格式：<模块名>    # <原因>

test_about_i18n.py    # ModuleNotFoundError: No module named 'phrases_full'
test_clean_plugin_v2.py    # 脚本式用例；clean 插件白名单拒绝 %TEMP% 下的 mock 目录（AssertionError: 路径超出受控白名单范围）
test_crontab_i18n_fix.py    # AssertionError: '"Stock Trading Day"' not found in '=== 1. Testing toWeek() + toHour() + toMinute() in EN 
test_files_i18n_layout.py    # AssertionError: 'right: 87px;' not found in '//判断磁盘数量超出宽度\nfunction isDiskWidth(){\n    // $("#comlist").c
test_footer_i18n.py    # ImportError: Failed to import test module: test_footer_i18n；ModuleNotFoundError: No module named 'jinja2'
test_index_i18n_fix.py    # ModuleNotFoundError: No module named 'phrases_full'；AssertionError: '1041' not found in 'public.SYS_BOOT_TIME'
test_jdk_and_hash_fix_i18n.py    # AssertionError: 'jdk.manage' not found in '<style>\n/* 弹窗整体固定尺寸与 Flex 布局 */\n.bt-form {\n    height: 100% 
test_loading_modal_and_backend_opt.py    # AssertionError: 'for k in list(RUN_CACHE.keys()):' not found in '# coding:utf-8\n\n# ---------------------
test_md_icon_and_editor_fix.py    # AssertionError: unexpectedly None : 未找到有效的 content 表单定义
test_message_box.py    # AssertionError: 0 != 1 : id=msg_box_sys_info 重复或缺失
test_message_box_and_prefix_leak_i18n.py    # FileNotFoundError: [WinError 206] 文件名或扩展名太长。；AssertionError: "t('public.memory_1'" not found in '// ============================================\n// 全局
test_monitor_i18n.py    # ImportError: Failed to import test module: test_monitor_i18n；ModuleNotFoundError: No module named 'jinja2'
test_monitor_optimization.py    # ImportError: Failed to import test module: test_monitor_optimization；ModuleNotFoundError: No module named 'jinja2'
test_mysql_manage_open_phpmyadmin.py    # AssertionError: '请先安装phpMyAdmin' not found in {'(连接数)': '(连接数)', 'BINLOG': 'BINLOG', 'CMD[必填]': 'CMD[必填]',
test_mysql_mariadb_import_log.py    # ModuleNotFoundError: No module named 'packaging'
test_mysql_mariadb_rw_i18n_and_layout.py    # AssertionError: 'inline-flex' not found in 'var api = YfPlugin.createApi(\'mysql\');\nvar pt = YfI18n.crea
test_mysql_mariadb_tools_and_pma.py    # AssertionError: 'window.open(url' not found in 'var api = YfPlugin.createApi(\'mysql\');\nvar pt = YfI18n.；AssertionError: 'MariaDB工具箱' not found in {'(连接数)': '(连接数)', 'BINLOG': 'BINLOG', 'CMD[必填]': 'CMD[必填]', 'IO
test_mysql_set_db_access.py    # ImportError: Failed to import test module: test_mysql_set_db_access；ModuleNotFoundError: No module named 'packaging'
test_mysql_ui_i18n.py    # AssertionError: 'resetPluginWinWidth(1050);' not found in '<style>\n/* 弹窗整体固定尺寸与 Flex 布局 */\n.bt-form {\n ；AssertionError: 'min-width:270px; white-space:nowrap;' not found in 'var api = YfPlugin.createApi(\'mysql\；AssertionError: 17 != 0 : mysql.js 依然存在字符串字面量拼接泄漏错误: [(2830, "'", '" + pt(\'当前从库同步模式\') + "</span>\\\n    
test_mysql_upgrade_self_healing.py    # ImportError: Failed to import test module: test_mysql_upgrade_self_healing；ModuleNotFoundError: No module named 'packaging'
test_php_config_robustness_and_startup.py    # AssertionError: '此处为 {1} 应用池配置文件,若您不了解配置规则,请勿随意修改。' not found in {'*PHP-FPM运行模式': '*PHP-FPM运行模式', '*允许创建的最
test_php_install_fixes.py    # AssertionError: 'systemctl reset-failed' not found in '#!/bin/bash\nPATH=/bin:/sbin:/usr/bin:/usr/sbin:/us
test_php_reset_defaults_and_full_i18n.py    # AssertionError: '已成功还原为默认禁用函数列表!' not found in {'*PHP-FPM运行模式': '*PHP-FPM运行模式', '*允许创建的最大子进程数': '*允许创建的最大子
test_plugin_i18n_complete.py    # clean 语言包脏键：键「日志清理」在 6 个语言包里都挂着「磁盘清理」的译文（zh-TW 为「磁碟清理」），而源码从未调用 pt('日志清理')（疑似死键 + 值复制错，涉及 6 个语言包，需人工定夺）。插件数断言 38→36 已修正
test_plugin_service_ops_and_modal.py    # ModuleNotFoundError: No module named 'flask'
test_redis_run_log_fix.py    # AssertionError: '当前暂无新增运行日志' not found in {'MB,最大使用内存,0表示不限制': 'MB, maximal nutzbarer Arbeitsspeicher; 0 b
test_site_create_default_page.py    # AssertionError: 'src="./favicon.ico"' not found in '<!DOCTYPE html>\n<html lang="zh-CN">\n<head>\n    <met
test_soft_i18n.py    # AssertionError: '執行環境' != '運行環境'
test_task_badge_sync.py    # AssertionError: 'getTaskCount();' not found in "$.post('/plugins/init_install', 'list='+JSON.stringify(pos
test_task_manager_i18n.py    # 英文值断言与语言包有 3 处措辞分歧（需人工定夺，勿盲目改任一侧）：外部地址 期望 'Foreign Address' 实为 'External Address'；进程 期望 'Process' 实为小写 'process'（疑似语言包缺陷）；屏蔽此IP 期望 'Block IP' 实为 'Block this IP address'
test_uninstall_modal_i18n.py    # AssertionError: 1 != 0 : Node.js 运行时翻译测试失败:
test_upgrade_and_mariadb_self_healing.py    # ImportError: Failed to import test module: test_upgrade_and_mariadb_self_healing；ModuleNotFoundError: No module named 'packaging'
